number,value,datetime_start,datetime_complete,duration,params_base_filters,params_batch_size,params_dropout,params_learning_rate,params_num_layers,params_optimizer,params_weight_decay,user_attrs_parameters,state
31,0.7992,2026-06-05 12:59:12.205216,2026-06-05 13:04:22.843080,0 days 00:05:10.637864,128,128,0.08621362412408742,0.004679688553821555,4,adam,1.40442131139186e-05,6210698.0,COMPLETE
32,0.6678,2026-06-05 13:04:22.843468,2026-06-05 13:06:29.621104,0 days 00:02:06.777636,128,128,0.11452384008518736,0.004276380888807584,4,adam,1.2863076599043047e-05,,PRUNED
33,0.7972,2026-06-05 13:06:29.621410,2026-06-05 13:11:42.770407,0 days 00:05:13.148997,128,128,0.04887933494619892,0.0057648978512923115,4,adam,1.902074679792564e-05,6210698.0,COMPLETE
34,0.4854,2026-06-05 13:11:42.770810,2026-06-05 13:12:16.542897,0 days 00:00:33.772087,128,128,0.13558816315552713,0.0029406654512894683,4,adam,1.2798076633551793e-05,,PRUNED
35,0.5424,2026-06-05 13:12:16.543174,2026-06-05 13:13:20.471382,0 days 00:01:03.928208,128,128,0.08692959345062223,0.007476161569181154,4,adam,1.0065372078306677e-05,,PRUNED
36,0.4854,2026-06-05 13:13:20.471685,2026-06-05 13:13:46.675519,0 days 00:00:26.203834,32,128,0.1695178300472073,0.001763641815027085,4,adam,3.3120809652366915e-05,,PRUNED
37,0.4204,2026-06-05 13:13:46.675849,2026-06-05 13:14:19.580286,0 days 00:00:32.904437,128,128,0.4470434696729131,0.0050726723039966285,4,adam,2.3040214163846315e-05,,PRUNED
38,0.3784,2026-06-05 13:14:19.580567,2026-06-05 13:14:51.454205,0 days 00:00:31.873638,128,64,0.008557493615182737,0.002213128300088092,3,adam,0.00022157660571174364,,PRUNED
39,0.3054,2026-06-05 13:14:51.454516,2026-06-05 13:15:15.099078,0 days 00:00:23.644562,16,128,0.1486453460065787,0.004080344690202917,2,adam,4.29979266822946e-05,,PRUNED
40,0.339,2026-06-05 13:15:15.099376,2026-06-05 13:15:42.610737,0 days 00:00:27.511361,64,128,0.23668587073163294,0.0015198338946381769,4,sgd,1.835304947107902e-05,,PRUNED
41,0.7452,2026-06-05 13:15:42.611013,2026-06-05 13:18:52.100751,0 days 00:03:09.489738,128,128,0.07625662461910165,0.004680515785471412,4,adam,1.3100161483871708e-05,,PRUNED
42,0.6398,2026-06-05 13:18:52.101039,2026-06-05 13:20:28.745973,0 days 00:01:36.644934,128,128,0.1184018035668783,0.002746545553873213,4,adam,1.4812565789237042e-05,,PRUNED
43,0.5444,2026-06-05 13:20:28.746267,2026-06-05 13:21:33.727124,0 days 00:01:04.980857,128,128,0.09759071410767163,0.00981910626472668,4,adam,1.4578539813979778e-05,,PRUNED
44,0.588,2026-06-05 13:21:33.727417,2026-06-05 13:22:39.081994,0 days 00:01:05.354577,128,128,0.0637573695042587,0.006601253977025172,4,adam,2.777399944320175e-05,,PRUNED
45,0.5338,2026-06-05 13:22:39.082266,2026-06-05 13:23:27.230481,0 days 00:00:48.148215,16,128,0.03984095301330177,0.0038843007674266186,4,adam,1.0008428174606347e-05,,PRUNED
46,0.5842,2026-06-05 13:23:27.230775,2026-06-05 13:24:32.724415,0 days 00:01:05.493640,128,128,0.186961365496674,0.00016903844896517462,4,adam,2.1969737856876932e-05,,PRUNED
47,0.7956,2026-06-05 13:24:32.724713,2026-06-05 13:30:13.568372,0 days 00:05:40.843659,128,64,0.023654529754389697,0.005298974412260296,4,adam,1.2166526791679313e-05,6210698.0,COMPLETE
48,0.3454,2026-06-05 13:30:13.568730,2026-06-05 13:30:39.559576,0 days 00:00:25.990846,32,128,0.10925640691759168,0.0035447696885810274,3,sgd,1.7932771640588947e-05,,PRUNED
49,0.4668,2026-06-05 13:30:39.559893,2026-06-05 13:31:12.967394,0 days 00:00:33.407501,128,128,0.07010321177945401,0.0045670536996068375,4,adam,1.4750260125522345e-05,,PRUNED
