epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,1.5934041585710315,0.41762222222222223,1.4002020496368408,0.5018,22.912638933999915
2,1.3243965887705484,0.5236888888888889,1.1372231630325318,0.5926,23.362119635
3,1.2266099900139702,0.5623333333333334,1.4540523513793946,0.5022,22.148965032999968
4,1.1640366915808784,0.5835777777777778,1.2007033602714539,0.5942,23.273574955999948
5,1.1222528469721476,0.6021111111111112,1.0020689419746398,0.6438,23.025375187999998
6,1.0789213204489814,0.616,0.9615652141571045,0.6618,22.35684103499989
7,1.0392829163869222,0.6314666666666666,1.0658880214691162,0.6266,23.149595943999884
8,1.0204093285242717,0.6366666666666667,0.9294952011108398,0.668,22.724622856999986
9,0.9901733327653673,0.6537555555555555,0.8933815986633301,0.6866,21.794284481999966
10,0.96697657178243,0.6597555555555555,0.9768281207084656,0.668,23.284880924999925
11,0.9447779332160949,0.6667555555555555,0.8905387470245362,0.6918,22.736693842000022
12,0.9323714122136434,0.6729111111111111,0.9166980077743531,0.6806,22.08288682200009
13,0.9123117077085707,0.6812222222222222,0.8050058763504029,0.7182,22.495325588000014
14,0.8986695538626777,0.6867777777777778,0.8335130259037018,0.7032,21.629863012999976
15,0.8824212315665351,0.6912222222222222,0.7629302963256835,0.7364,22.56777275499985
16,0.8724764533572726,0.6955555555555556,0.7549081687927246,0.7346,22.69915603200002
17,0.8572124123573304,0.7008888888888889,0.8777088117599487,0.6918,21.75940162400002
18,0.8439151194148593,0.7051111111111111,0.7240248591423034,0.7434,22.87197105899986
19,0.8343194610701667,0.7103333333333334,0.745779388141632,0.7424,22.239430739
20,0.8220922788408067,0.7132666666666667,0.7183284924268722,0.7582,22.204644247000033
21,0.8174770942158169,0.7185555555555555,0.7070541198253631,0.7532,22.401801507000073
22,0.8026705642806159,0.7189111111111111,0.7484171233177185,0.7446,21.583652217000008
23,0.7975073201179504,0.7215111111111111,0.7277277917861938,0.7456,22.271877264000068
24,0.7874717751502991,0.7271111111111112,0.6754994485855103,0.7684,22.281530879
25,0.7772000410715739,0.7299777777777777,0.730062731552124,0.7514,21.93558123899993
26,0.765142432138655,0.7356,0.6405817071914672,0.7772,22.51466475899997
27,0.7545764170646667,0.7371777777777778,0.6811294154644012,0.766,21.580328350999935
28,0.7562120642979939,0.7388,0.6264074270963669,0.7824,22.51863940699991
29,0.7420362931251526,0.7436,0.6833197543621063,0.761,22.360625090999974
30,0.7362959456973606,0.7464,0.6350581774234771,0.777,21.89335096900004
31,0.7323523637453715,0.7439333333333333,0.6424804622650147,0.7826,22.684543334999944
32,0.7170624270651076,0.7507555555555555,0.6266666538715363,0.7858,21.939251272999854
33,0.7163585757043627,0.7508222222222222,0.6549427825689316,0.7802,22.730993793999914
34,0.7152851848708258,0.7507777777777778,0.6109244883775711,0.7848,22.928266140999995
35,0.7018268350813124,0.7562666666666666,0.5876099782705307,0.7964,23.154732416999877
36,0.7014009632110596,0.7584,0.5892951074838638,0.7918,23.472521214999915
37,0.6926866987546285,0.7586,0.6147594628810883,0.7866,23.39995672100008
38,0.6856102052052816,0.7630444444444444,0.5761027482509613,0.8014,22.846520204999933
39,0.6793233027670118,0.7657777777777778,0.5773068053483963,0.7976,23.359738433000075
40,0.6755190501319037,0.7678,0.5704987072944641,0.801,23.257573798000067
41,0.6709313019328648,0.7696,0.556442459487915,0.8048,22.58670330799987
42,0.6666517045974731,0.7704666666666666,0.5587268150091171,0.8046,22.931654479999906
43,0.6615659870253668,0.7707111111111111,0.5646245504617691,0.8014,23.161341567999898
44,0.6583044817394681,0.7750444444444444,0.5495757771730423,0.8096,22.12830107100035
45,0.6560375846438937,0.7750666666666667,0.5504673109531403,0.807,22.689200221999727
46,0.6577849375194973,0.7751111111111111,0.5543700850486756,0.8078,24.268669161999696
47,0.6570714176601834,0.7740666666666667,0.5501162088394165,0.8084,23.08641363600009
48,0.6543184218512641,0.774,0.5476530555725098,0.81,23.797187442999984
49,0.6525358689308166,0.7751333333333333,0.5483582597970963,0.8082,23.741005935999965
50,0.6563926454755995,0.7760888888888889,0.5468673115730286,0.8094,21.669905771999765
