epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,1.8121921643998888,0.3391111111111111,1.5671250511169434,0.4418,20.821373085000005
2,1.5161687923643323,0.4528888888888889,1.3874839412689208,0.504,21.025590543999897
3,1.385427094607883,0.5045111111111111,1.2453760322570802,0.5628,20.2262345690001
4,1.2986284792582194,0.5357777777777778,1.2086473678588867,0.5698,21.15672323700005
5,1.234306963772244,0.5609333333333333,1.1274491958618165,0.598,20.964269707000085
6,1.1813582081052991,0.5781111111111111,1.0762044652938842,0.622,19.98794527599989
7,1.134799406475491,0.5993777777777778,1.0408380907058716,0.6272,20.676253576000136
8,1.0988510372903613,0.6115333333333334,1.0018968773841859,0.6402,20.735622208999985
1,1.469469095272488,0.4653777777777778,1.1926730110168458,0.5778,23.054234501999872
2,1.0877669564141168,0.6127777777777778,0.9939421129226684,0.6516,22.95511539800009
3,0.9316812677171495,0.6714666666666667,0.7538043351173401,0.7344,23.23435739100023
4,0.8290323721567789,0.7112888888888889,0.6467152866363526,0.7762,23.172997869000028
5,0.7521433720906575,0.7401777777777778,0.6264645809173583,0.7822,22.93170955200003
6,0.6968221154106988,0.7597777777777778,0.5645337412357331,0.8006,23.026214247000098
7,0.646231495666504,0.7739333333333334,0.54896493370533,0.808,23.23908801699963
8,0.6102601120471954,0.7900888888888888,0.5148413292646408,0.8174,22.969309103999876
9,0.5708754259321425,0.8014,0.4913744059562683,0.8306,22.476046321999547
10,0.5405100080913967,0.8147555555555556,0.4827400002479553,0.8318,22.813823248000062
11,0.5266306144078573,0.8192222222222222,0.4656785518169403,0.8336,22.782048221999958
12,0.49855261641608345,0.8270666666666666,0.44122740778923036,0.8448,22.73468635800009
13,0.4800937560399373,0.8334666666666667,0.43200261538028717,0.8474,22.987654383999597
14,0.4677027744928996,0.8389777777777778,0.4207348586559296,0.8522,23.137216049000017
15,0.44443677230411105,0.8458666666666667,0.42255933208465574,0.8546,22.658813263999946
16,0.4291949965900845,0.8522888888888889,0.425998371052742,0.854,22.688905417000115
17,0.4171653876092699,0.8559333333333333,0.4040452622413635,0.8608,22.974915592000343
18,0.4066393663512336,0.8593555555555555,0.39057983462810514,0.8632,22.86647459400001
19,0.39043763211568194,0.8649777777777777,0.37957151654213667,0.871,22.81149323200043
20,0.379419865544637,0.8686888888888888,0.39155751206874845,0.8664,23.063578033999875
1,1.428546942308214,0.48388888888888887,1.1846842491149903,0.5896,26.30535285799988
2,1.1155895536634657,0.6038888888888889,0.9606069268226624,0.668,25.76110797599995
3,0.9921432278951009,0.6493777777777778,0.9006022092819214,0.6938,25.85914013699994
4,0.9168001117282444,0.6772444444444444,0.772628602218628,0.727,25.907524780999665
5,0.8703290769365098,0.6952666666666667,0.793524280166626,0.7316,25.93209523900032
6,0.8180550988515218,0.7120666666666666,0.7027230527877808,0.7538,25.885635829999956
7,0.7826468940311008,0.7248666666666667,0.6588068182945251,0.7672,25.986596011000074
8,0.75216725569831,0.7371111111111112,0.682157764005661,0.7638,26.148316265000176
9,0.7252628176795112,0.7455555555555555,0.5757215589046478,0.7944,26.229186506000133
10,0.6995536801232232,0.7557111111111111,0.5991161005020141,0.785,25.721634026000174
11,0.6799460603078207,0.7635555555555555,0.5614835573196411,0.8032,25.791042863000257
12,0.6634124226676094,0.7691333333333333,0.5215950748443604,0.8196,25.57904256100028
13,0.6428517162164052,0.7746444444444445,0.5284679563760758,0.824,25.85536544100023
14,0.6291936797247992,0.7801333333333333,0.4969655822753906,0.8274,25.874969302999943
15,0.60855746061537,0.7874444444444444,0.5484163876414299,0.814,25.848774650999985
16,0.5977981368594699,0.7918666666666667,0.5190845346927643,0.8306,25.541624806000073
17,0.5819508167478773,0.7956222222222222,0.47756020064353943,0.8352,26.322598862000177
18,0.5693429574754503,0.7993777777777777,0.49998124910593034,0.831,26.017300029000126
19,0.5621277970208062,0.8033777777777777,0.4352228685617447,0.8512,25.570013167999605
20,0.5470610874705845,0.8088,0.45307790982723234,0.8434,26.02415493799981
1,1.8039255017810398,0.35288888888888886,1.3527469926834106,0.5038,32.130032691999986
2,1.42252889796363,0.48355555555555557,1.1455446279525756,0.6016,31.170129803000236
3,1.2525590846167671,0.552,0.9300803043365479,0.662,30.956498460000148
4,1.1268686954922147,0.6001555555555556,0.8996666011810303,0.6816,31.11581569700047
5,1.0322669095993042,0.6360444444444444,0.8095107341766358,0.7156,31.61749405699993
6,0.9689123339758979,0.6602888888888889,0.7602341577529907,0.7374,30.559811350000018
7,0.9214691465271844,0.6786444444444445,0.7003178353786469,0.7636,31.18396986100015
8,0.8794173895835876,0.6957333333333333,0.6747613269805908,0.765,30.98119908100034
9,0.8638482121573554,0.7012888888888889,0.5922241823196411,0.7962,31.66055568199954
10,0.8281945773336622,0.7125777777777778,0.61715825715065,0.7824,31.086920523000117
11,0.8085157282723321,0.7173555555555555,0.5991769988059997,0.7966,31.102034057999845
12,0.7865414541456435,0.7259111111111111,0.6054649814605713,0.7942,31.02691005500037
13,0.7769251125017802,0.7328666666666667,0.5728490649223328,0.8058,31.314712100999714
14,0.7539647428936429,0.7394444444444445,0.6075929243803024,0.8002,31.543771593999736
15,0.7311935107972887,0.7492222222222222,0.5331643692970276,0.8164,30.969094279000274
16,0.7307388163672554,0.7460888888888889,0.48780466570854186,0.8332,31.307286191999992
17,0.7049769530508253,0.7558,0.49404513733386995,0.8366,31.617067837000832
18,0.6953124572753906,0.7600888888888889,0.47287731800079347,0.8276,31.74030851599946
19,0.6841419818666247,0.7624,0.4647737255096436,0.8378,30.818985868999334
20,0.6693338608317905,0.7677555555555555,0.4621950837612152,0.8402,31.199761511999895
21,0.6574444788932801,0.7730666666666667,0.4330077306509018,0.8522,31.188366536999638
22,0.6421543134901259,0.7795555555555556,0.4245781939983368,0.8546,31.514008416999786
23,0.632824033859041,0.7827333333333333,0.4488758013486862,0.8488,30.5776228779996
24,0.6093697851392957,0.7893111111111111,0.4307717824101448,0.8544,30.36682398299945
25,0.6031314399825202,0.7921333333333334,0.4422147074580193,0.8526,30.354258391999792
