epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,1.8084687025282118,0.3298888888888889,1.5056596479415894,0.4452,25.625988429000017
2,1.6143063473171657,0.4057777777777778,1.327313042640686,0.5284,23.91372257699993
3,1.51573861456977,0.44653333333333334,1.2564413206100464,0.5464,23.79993785900001
4,1.4391107009887696,0.4788,1.186731587600708,0.5778,23.292261489999987
5,1.3946098966810438,0.4967111111111111,1.2134357727050782,0.5602,23.87619242400001
6,1.3569896392822265,0.5109555555555556,1.1075741514205932,0.5982,23.931352569999945
7,1.322192337544759,0.5238222222222222,1.100774599647522,0.6032,23.636496986999987
8,1.296189182027181,0.5340222222222222,1.052675831604004,0.6206,23.730775973999926
9,1.276790439690484,0.5416222222222222,1.0708580863952637,0.614,24.125961865000022
10,1.2563241695827907,0.5512666666666667,0.9973381499290467,0.6504,23.876815158
11,1.2343787958780925,0.5592,0.9984431915283203,0.6418,24.19791138300002
12,1.2214610240512425,0.5641111111111111,0.9753001014709473,0.653,23.72869175900007
13,1.1984148704528808,0.5735111111111111,0.9494433376312256,0.6582,23.538390187000005
14,1.1878658904181587,0.5765111111111111,0.932959854888916,0.6618,24.036623392000024
15,1.1801651295132107,0.5806222222222223,0.9108515627861022,0.6752,23.680120961000057
16,1.1624049876742892,0.5880888888888889,0.8952735963821411,0.6766,23.966119521999985
17,1.1535128394232856,0.5912,0.8904575546264648,0.682,23.62125519199992
18,1.1435760392083063,0.5952222222222222,0.8724588664054871,0.6924,23.653801835999957
19,1.1280961990356446,0.5974666666666667,0.8793233657836914,0.6868,24.02167444700001
20,1.1261657213846843,0.6022666666666666,0.8661046635627747,0.6916,23.661536937999927
21,1.1154162076314291,0.6054888888888889,0.856691522026062,0.6894,23.44343293899999
22,1.1024934596591525,0.6089111111111111,0.8456242246627808,0.7012,23.257085727999993
23,1.0938030961778429,0.6114888888888889,0.8236212729454041,0.7062,23.501647212999956
24,1.0809799219767253,0.6192,0.8095131517410278,0.7158,23.719235891999915
25,1.0738173650105793,0.6185777777777778,0.8225093223571778,0.7102,23.705009636000113
26,1.0727726776123048,0.6223333333333333,0.8209427647590637,0.7082,24.060304775000077
27,1.0631384196811253,0.6267111111111111,0.8075903467178345,0.714,23.95893876199989
28,1.0600880330403646,0.6276,0.7865117227554321,0.7212,23.904658765000022
29,1.0529505559285481,0.6290222222222223,0.8073909415245056,0.7152,24.013637066
30,1.0465241762797037,0.6300666666666667,0.795477873802185,0.7166,23.990652872000055
31,1.0427443130493164,0.6342666666666666,0.7809258166313171,0.725,23.2649308739999
32,1.0392157257927788,0.6329111111111111,0.7763902997016907,0.7222,23.573424211999964
33,1.0358828354729546,0.6368,0.7712937749862671,0.7256,23.754378208000162
34,1.024978202565511,0.6389555555555556,0.7667388210296631,0.7266,23.88488322599983
35,1.0226467163085937,0.6409777777777778,0.7810298700332642,0.7226,23.560067593000213
36,1.0147042316012913,0.6438444444444444,0.7611768445968627,0.7292,23.871626335999963
37,1.0205079294840496,0.6416666666666667,0.7607701543807983,0.7278,24.070154743000103
38,1.0114523931715222,0.6437111111111111,0.7546472289085389,0.731,23.892002631999958
39,1.0114790114508734,0.6424222222222222,0.755918493270874,0.733,24.045592798000143
40,1.0076711892869736,0.6478888888888888,0.762024101638794,0.732,23.526886374000014
41,1.0009833588494195,0.6453777777777778,0.748237593460083,0.7338,23.315623793999976
42,1.0036718313429092,0.6470444444444444,0.7450795797348022,0.7396,23.90801241600002
43,1.0043453034294976,0.6471333333333333,0.7466051933288574,0.735,23.40477908799994
44,1.000425181918674,0.6492,0.7451649870872498,0.7412,23.749686825000026
45,0.998732310909695,0.6501555555555556,0.7446194739341736,0.7366,23.688188330000003
46,0.9992703796386718,0.6495333333333333,0.7470888124465942,0.7378,23.712412576999895
47,0.9952049391004775,0.6498444444444444,0.7443762321472168,0.7382,23.728440515999864
48,0.9970090967814128,0.6515333333333333,0.7376347011566162,0.741,24.11244545800014
49,0.9991004339430067,0.6506444444444445,0.7380510900497437,0.7428,24.023483019999958
50,0.998951862165663,0.6483111111111111,0.7379353587150573,0.7424,23.273621120999906
