generation,individual_id,fitness,validation_accuracy,train_accuracy,train_loss,validation_loss,parameters,latency_ms,parameter_penalty,latency_penalty,genome,num_layers,filters,kernel_sizes,pooling_types,skip_connections,dropout
8,75,0.6148203494666643,0.6194,0.5390222222222222,1.2817413495381673,1.063835748577118,372618,0.8534705333355911,0.00372618,0.0008534705333355911,"{""num_layers"": 4, ""filters"": [64, 128, 64, 128], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""avg"", ""max"", ""avg"", ""avg""], ""skip_connections"": [true, false, true, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[64, 128, 64, 128]","[3, 3, 5, 3]","[""avg"", ""max"", ""avg"", ""avg""]","[true, false, true, true]",0.045454706086896945
8,76,0.5694454816666543,0.5716,0.47271111111111114,1.448905779308743,1.1971600173950194,132842,0.8260983333457261,0.0013284199999999999,0.0008260983333457262,"{""num_layers"": 4, ""filters"": [64, 128, 16, 16], ""kernel_sizes"": [5, 3, 5, 3], ""pooling_types"": [""avg"", ""avg"", ""avg"", ""max""], ""skip_connections"": [true, false, false, false], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.04725297375754717}",4,"[64, 128, 16, 16]","[5, 3, 5, 3]","[""avg"", ""avg"", ""avg"", ""max""]","[true, false, false, false]",0.04725297375754717
8,77,0.595719283666659,0.6014,0.5711333333333334,1.1932500707414415,1.1335827350616454,495306,0.7276563333410498,0.0049530600000000004,0.0007276563333410499,"{""num_layers"": 4, ""filters"": [64, 128, 64, 128], ""kernel_sizes"": [3, 5, 3, 5], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[64, 128, 64, 128]","[3, 5, 3, 5]","[""max"", ""max"", ""max"", ""avg""]","[false, false, false, true]",0.045454706086896945
8,78,0.4739132094999914,0.4786,0.4233777777777778,1.592746935081482,1.4470854274749756,415242,0.5343705000086629,0.00415242,0.000534370500008663,"{""num_layers"": 2, ""filters"": [128, 128], ""kernel_sizes"": [3, 5], ""pooling_types"": [""avg"", ""max""], ""skip_connections"": [true, false], ""dilations"": [1, 1], ""separable"": [false, false], ""dropout"": 0.045454706086896945}",2,"[128, 128]","[3, 5]","[""avg"", ""max""]","[true, false]",0.045454706086896945
8,79,0.5159350083999992,0.5192,0.4973111111111111,1.3839589454015095,1.3317081256866454,261866,0.646331600000849,0.00261866,0.000646331600000849,"{""num_layers"": 4, ""filters"": [32, 32, 128, 128], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""avg"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, true, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[32, 32, 128, 128]","[3, 3, 5, 3]","[""avg"", ""max"", ""max"", ""avg""]","[false, true, false, true]",0.045454706086896945
9,80,0.3490904217666666,0.3496,0.3032888888888889,1.8750528156704374,1.7322999456405639,2970,0.4798782333333899,2.97e-05,0.0004798782333333899,"{""num_layers"": 2, ""filters"": [16, 16], ""kernel_sizes"": [3, 3], ""pooling_types"": [""avg"", ""max""], ""skip_connections"": [false, false], ""dilations"": [1, 1], ""separable"": [false, false], ""dropout"": 0.04725297375754717}",2,"[16, 16]","[3, 3]","[""avg"", ""max""]","[false, false]",0.04725297375754717
9,81,0.6379268459999771,0.644,0.5602,1.2324261547936333,0.9773147751808167,506378,1.0093740000229445,0.00506378,0.0010093740000229445,"{""num_layers"": 4, ""filters"": [64, 128, 128, 16], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""avg"", ""avg"", ""max"", ""max""], ""skip_connections"": [false, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.04725297375754717}",4,"[64, 128, 128, 16]","[3, 3, 5, 3]","[""avg"", ""avg"", ""max"", ""max""]","[false, false, false, true]",0.04725297375754717
9,82,0.6393975009666754,0.643,0.5441777777777778,1.264798027949863,1.0073617007255553,220810,1.3943990333245893,0.0022081,0.0013943990333245893,"{""num_layers"": 4, ""filters"": [64, 128, 32, 128], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""avg"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[64, 128, 32, 128]","[3, 3, 5, 3]","[""avg"", ""max"", ""max"", ""avg""]","[false, false, false, true]",0.045454706086896945
9,83,0.6136488657333238,0.6182,0.5614222222222223,1.2177132553312513,1.0858945691108703,364234,0.9087942666762198,0.00364234,0.0009087942666762198,"{""num_layers"": 4, ""filters"": [64, 128, 64, 128], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[64, 128, 64, 128]","[3, 3, 5, 3]","[""max"", ""max"", ""max"", ""avg""]","[false, false, false, true]",0.045454706086896945
9,84,0.4591846365000092,0.4618,0.4336,1.566461731974284,1.51618675365448,211274,0.5026234999907805,0.00211274,0.0005026234999907806,"{""num_layers"": 2, ""filters"": [64, 128], ""kernel_sizes"": [5, 5], ""pooling_types"": [""max"", ""max""], ""skip_connections"": [false, false], ""dilations"": [1, 1], ""separable"": [false, false], ""dropout"": 0.045454706086896945}",2,"[64, 128]","[5, 5]","[""max"", ""max""]","[false, false]",0.045454706086896945
